product_id,product_type_id,primary_product_category_id,product_name,brand_name,taxable,is_in_stock,color,product_price_type,product_price
"DVIGCRXM4U80SH","FINISHED_GOOD","Mobiles","LENOVO A390 (BLACK)","LENOVO","Y",\N,"BLACK","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","6390.00,16000.00,16000.00,18000.00"
"ECSDH2LIQ3NKT7","FINISHED_GOOD","Mobiles","sony flip cover  ","SONY","Y",\N,\N,"AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","1459.00,79999.00,79999.00,79999.00"
"F4D5YB0PN5Z4SDBAB","FINISHED_GOOD","PrintersScanners","Neelam P&S testing (grey)","BROTHER","Y","Y","grey","DEFAULT_PRICE,LIST_PRICE","3599.00,3999.00"
"F6RYD6AZMBY8","FINISHED_GOOD","Mobiles","SONY SP WHITE (BLACK)","SONY","Y",\N,"BLACK","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","14150.00,17000.00,19000.00"
"F8XYHTR2N1MOKGXS","FINISHED_GOOD","Mobiles","Neelam mobile  (white)","AMBRANE","Y","Y","white","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","10000.00,1000.00,9999.00,1100.00"
"FLMH7T7JDI4GMQC2","FINISHED_GOOD","PrintersScanners","Printer  (Black)","HP","Y",\N,"Black","DEFAULT_PRICE,LIST_PRICE","4500.00,4999.00"
"GL5BKLE8ST1CDYDJ","FINISHED_GOOD","Mobiles","Apple iPhone 5S (Gold) WITH 16 GB","APPLE","Y","N","Gold","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","37400.00,37400.00,37274.00,53510.00"
"GSPSGW2UEQKG","FINISHED_GOOD","Mobiles","(white) (white)","GIONEE","Y",\N,"white","DEFAULT_PRICE,LIST_PRICE","1450.00,1500.00"
"HKQPU6DE5UYO","FINISHED_GOOD","Mobiles","Iwatch (Black)","APPLE","Y",\N,"Black","DEFAULT_PRICE,LIST_PRICE","59000.00,60000.00"
"I7HCXRM7JF28T77SS","FINISHED_GOOD","Mobiles","Moto Mobile 1-Pink color (White)","MOTOROLA","Y","Y","White","DEFAULT_PRICE,LIST_PRICE","22100.00,24000.00"
"ITNM3SOORZ0GTWXB","FINISHED_GOOD","Tablet","iBall P1 (Black)","IBALL","Y",\N,"Black","DEFAULT_PRICE,LIST_PRICE","7999.00,9999.00"
"IZ4YNBH5MV4038","FINISHED_GOOD","Mobiles","lenovo a390 (white)","LENOVO","Y",\N,"white","DEFAULT_PRICE,LIST_PRICE","5600.00,6000.00"
"JNZ5ZP5CPQF41ZCF","FINISHED_GOOD","Mobiles","MICROMAX X351 (BLACK)","MICROMAX","Y",\N,"BLACK","DEFAULT_PRICE,LIST_PRICE","1750.00,1900.00"
"JVYXYLAJIHHCIR8L","FINISHED_GOOD","Mobiles","sony (black)","SONY","Y","N","black","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","16550.00,17000.00,19000.00"
"KALUVGZ5Q8E8D","FINISHED_GOOD","Mobiles","neelam mobile testing (blue)","AMBRANE","Y","Y","blue","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","12000.00,12000.00,11000.00,12500.00"
"KRLGCINEWPA8","FINISHED_GOOD","Mobiles","KARBOON A120 (BLACK)","KARBONN","Y",\N,"BLACK","DEFAULT_PRICE,LIST_PRICE","3500.00,4000.00"
"LPERJ0FF3Q4GHC","FINISHED_GOOD","Mobiles","samsung   (white)","SAMSUNG","Y",\N,"white","DEFAULT_PRICE,LIST_PRICE","1850.00,19999.00"
"LXL8AMCW10QOL3UBO","FINISHED_GOOD","Mobiles","Lenovo S5000 Tablet (WiFi, 3G), Silver-Grey (Black)","LENOVO","Y","Y","Black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","10000.00,10999.00,10000.00,11990.00"
"M94FLJGAH3I8L7Y","FINISHED_GOOD","Mobiles","sony   (ssew)","SONY","Y","N","ssew","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","1710.00,1222.00,55666.00"
"MB2O2AW759TSZZM","FINISHED_GOOD","Mobiles","(white) (white)","GIONEE","Y",\N,"white","DEFAULT_PRICE,LIST_PRICE","1850.00,1999.00"
"MDS1X7MIB3EOIM","FINISHED_GOOD","Mobiles","moto g2 flip cover    ","GOOGLE","Y","N",\N,"AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","45636.00,799.00,100.00,799.00"
"MIOOTASU2I2O","FINISHED_GOOD","Mobiles","sony xperia flip cover ","SONY","Y","N",\N,"AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","8999.00,8999.00,8999.00"
"MZI501HDTKW0","FINISHED_GOOD","Mobiles","SONY SP  WHITE (WHITE)","SONY","Y","N","WHITE","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","13914.00,17000.00,19000.00"
"NEJTVL2R1IBKU4ZU","FINISHED_GOOD","Mobiles","Gionee L900 (coffe colore)","GIONEE","Y",\N,"coffe colore","DEFAULT_PRICE,LIST_PRICE","1950.00,2100.00"
"NEYH5MUGFXS","FINISHED_GOOD","Mobiles","SONY ZBLN (RED)","SONY","Y","N","RED","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","499.00,10000.00,12000.00"
"O4WG0BDNRFUO","FINISHED_GOOD","Mobiles","mobile (Grey)","GIONEE","Y",\N,"Grey","DEFAULT_PRICE,LIST_PRICE","3200.00,4000.00"
"OG91BAJZML8GL7WH","FINISHED_GOOD","Mobiles","water bottle wallpaper 2 ","APPLE","Y",\N,\N,"AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","8888.00,8888.00,7777.00,8888.00"
"OT2XZTGR21A8TIB5Z","FINISHED_GOOD","Mobiles","Moto G 2nd Gen   ","GOOGLE","Y",\N,\N,"DEFAULT_PRICE,LIST_PRICE","15800.00,16000.00"
"PLVUOZ1VOCU8L13K","FINISHED_GOOD","Mobiles","water bottle wallpaper 1 ","APPLE","Y",\N,\N,"AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","9999.00,8989.00,8888.00,8989.00"
"Q5WU2XEWAPS","FINISHED_GOOD","PrintersScanners","HP Deskjet 1510 Multifunction Inkjet Printer(Low Cartridge Cost) (white)","HP","Y","Y","white","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","2500.00,4000.00,3200.00,4074.00"
"RUICN0JGJ3EO","FINISHED_GOOD","Mobiles","sony (black)","SONY","Y","N","black","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","5790.00,15000.00,17000.00"
"S4ZTPK3NNE2OA2","FINISHED_GOOD","PrintersScanners","printer (black)","HP","Y",\N,"black","DEFAULT_PRICE,LIST_PRICE","1850.00,1999.00"
"SD2ACD3C7E9S12T03","FINISHED_GOOD","Mobiles","screen guard moto g 2nd   ","GOOGLE","Y",\N,\N,"DEFAULT_PRICE,FK_PRICE,LIST_PRICE","4800.00,4444.00,4800.00"
"SO9JKH65VX1C","FINISHED_GOOD","Mobiles","INTEX (WHITE)","INTEX","Y",\N,"WHITE","DEFAULT_PRICE,FK_PRICE,LIST_PRICE","4500.00,4500.00,5000.00"
"SV8O2GZGB11C","FINISHED_GOOD","Mobiles","Videocon Infinium Z50 Nova  ","VIDEOCON","Y",\N,\N,"DEFAULT_PRICE,FK_PRICE,LIST_PRICE","6000.00,6000.00,6000.00"
"SY0M70JLOXDSQ4Y","FINISHED_GOOD","PrintersScanners","hp1050  (white)","HP","Y",\N,"white","DEFAULT_PRICE,LIST_PRICE","12200.00,12500.00"
"TNQ5WTFTR6DCWNTT","FINISHED_GOOD","Mobiles","Sony Xperia SP C5302 (White)   ","SONY","Y",\N,\N,"AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","19914.00,19990.00,19990.00"
"TNQHHA8EOC8W","FINISHED_GOOD","Mobiles","GioneeL800 (Gray)","GIONEE","Y",\N,"Gray","DEFAULT_PRICE,LIST_PRICE","1750.00,1999.00"
"TSFFZGAKFOJKG","FINISHED_GOOD","Mobiles","Samsung Galaxy Star Pro S7262 (black)","SAMSUNG","Y","N","black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","10000.00,9000.00,10000.00,10000.00"
"TZZWN9T21I4GYV","FINISHED_GOOD","Mobiles","half girlfriend (English)","AMBRANE","Y","Y","English","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","599.00,599.00,599.00"
"U60167XJ2HHCGK","FINISHED_GOOD","Mobiles","Moto E (White)","MOTOROLA","Y","Y","White","DEFAULT_PRICE,LIST_PRICE","5999.00,6999.00"
"UEI362ELP8W",\N,\N,\N,"SAMSUNG","Y",\N,"pink","DEFAULT_PRICE,LIST_PRICE","23999.00,25000.00"
"UIB760MRQBY8UN7","FINISHED_GOOD","Mobiles","htc desire 816g (black)","HTC","Y",\N,"black","DEFAULT_PRICE,LIST_PRICE","15990.00,19999.00"
"URNSGGGMZWN44V0ET","FINISHED_GOOD","Mobiles","Lenovo Idea Tab A1000 Tablet (4 GB, 2G, Wi-Fi) 60028 (Black)","AMBRANE",\N,"Y",\N,"DEFAULT_PRICE,FK_PRICE,LIST_PRICE","7290.00,7290.00,7290.00"
"URXJC8G37YM8R","FINISHED_GOOD","Mobiles","Moto G flip cover ","GOOGLE","Y","N",\N,"AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","650.00,600.00,800.00"
"VC0CENXCQV4093A","FINISHED_GOOD","Mobiles","water bottle wallpaper 3 ","APPLE","Y",\N,\N,"AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","34999.00,7777.00,7777.00"
"VKOXFPNC0EM8JKL","FINISHED_GOOD","Mobiles","lenovo tab1   ","LENOVO","Y","Y",\N,"DEFAULT_PRICE,FK_PRICE,LIST_PRICE","111111.00,111111.00,111111.00"
"VSKA92OS8U0W0Z1TF","FINISHED_GOOD","Mobiles","MICROMAX X351 (BLACK)","MICROMAX","Y",\N," BLACK","DEFAULT_PRICE,LIST_PRICE","1590.00,1900.00"
"W9CEAQBSKSN4AUBSW","FINISHED_GOOD","Mobiles","blackberry neelam (black)","BLACKBERRY","Y",\N,"black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","35995.00,35999.00,35990.00,39999.00"
"WTRD8Z9R6IV47AEJ","FINISHED_GOOD","Mobiles","neelam mobile testing (black)","AMBRANE","Y",\N,"black","DEFAULT_PRICE,LIST_PRICE","0.00,0.00"
"XB9CDNX0ZG1SRLBBZ","FINISHED_GOOD","Mobiles","SONY KNTNS (GRAY)","SONY","Y","Y","GRAY","AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","310.00,21890.00,23000.00"
"XJJEOMD3375SPNFS","FINISHED_GOOD","Mobiles","KARBOON S5 (BLACK)","KARBONN","Y",\N,"BLACK","DEFAULT_PRICE,LIST_PRICE","6500.00,8000.00"
"XPZ0Q8PUIMF4QE","FINISHED_GOOD","Mobiles","KARBOON A111 (SILVER)","KARBONN","Y",\N,"SILVER","DEFAULT_PRICE,LIST_PRICE","4000.00,6000.00"
"YSVEUYSNZXS","FINISHED_GOOD","Mobiles","sony xperia c (black)","SONY","Y","Y","black","AMAZON_PRICE,DEFAULT_PRICE,FK_PRICE,LIST_PRICE","9919.00,17000.00,1000.00,19000.00"
"YTOZ024ICMBK","FINISHED_GOOD","Mobiles","screen guard sony experia ","SONY","Y",\N,\N,"DEFAULT_PRICE,LIST_PRICE","9999.00,9999.00"
"ZB18KJYZKHC","FINISHED_GOOD","Tablet","BSNL (BLACK)","BSNL","Y",\N,"BLACK","DEFAULT_PRICE,LIST_PRICE","5500.00,6000.00"
"ZP07MTYQWFEO5HZR3","FINISHED_GOOD","Mobiles","moto g 3 flip cover ","APPLE","Y","Y",\N,"AMAZON_PRICE,DEFAULT_PRICE,LIST_PRICE","777.00,900.00,1000.00"
